Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core #0 VID [V]","Core #1 VID [V]","Core #2 VID [V]","Core #3 VID [V]","Core #0 Clock [MHz]","Core #1 Clock [MHz]","Core #2 Clock [MHz]","Core #3 Clock [MHz]","Bus Clock [MHz]","Ring Clock [MHz]","System Agent Clock [MHz]","Core #0 Usage [%]","Core #1 Usage [%]","Core #2 Usage [%]","Core #3 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","On-Demand Clock Modulation [%]","Core #0 Ratio [x]","Core #1 Ratio [x]","Core #2 Ratio [x]","Core #3 Ratio [x]","Uncore Ratio [x]","Core #0 [°C]","Core #1 [°C]","Core #2 [°C]","Core #3 [°C]","Core #0 Distance to TjMAX [°C]","Core #1 Distance to TjMAX [°C]","Core #2 Distance to TjMAX [°C]","Core #3 Distance to TjMAX [°C]","Core Max [°C]","Core #0 Thermal Throttling [Yes/No]","Core #1 Thermal Throttling [Yes/No]","Core #2 Thermal Throttling [Yes/No]","Core #3 Thermal Throttling [Yes/No]","Core #0 Critical Temperature [Yes/No]","Core #1 Critical Temperature [Yes/No]","Core #2 Critical Temperature [Yes/No]","Core #3 Critical Temperature [Yes/No]","Core #0 Power Limit Exceeded [Yes/No]","Core #1 Power Limit Exceeded [Yes/No]","Core #2 Power Limit Exceeded [Yes/No]","Core #3 Power Limit Exceeded [Yes/No]","Package/Ring Thermal Throttling [Yes/No]","Package/Ring Critical Temperature [Yes/No]","Package/Ring Power Limit Exceeded [Yes/No]","CPU Package [°C]","CPU IA Cores [°C]","CPU GT Cores (Graphics) [°C]","CPU Package Power [W]","IA Cores Power [W]","Total DRAM Power [W]","Core #0 Thread 0 C0 Residency [%]","Core #1 Thread 0 C0 Residency [%]","Core #2 Thread 0 C0 Residency [%]","Core #3 Thread 0 C0 Residency [%]","Core #0 C3 Residency [%]","Core #1 C3 Residency [%]","Core #2 C3 Residency [%]","Core #3 C3 Residency [%]","Core #0 C7 Residency [%]","Core #1 C7 Residency [%]","Core #2 C7 Residency [%]","Core #3 C7 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trfc [T]","Command Rate [T]","IA: PROCHOT [Yes/No]","IA: Thermal Event [Yes/No]","IA: DDR RAPL [Yes/No]","IA: PCS (PECI) [Yes/No]","IA: Residency State Regulation [Yes/No]","IA: Running Average Thermal Limit [Yes/No]","IA: VR Thermal Alert [Yes/No]","IA: VR TDC [Yes/No]","IA: Electrical Design Point/Other (ICCmax,PL4,SVID,DDR RAPL) [Yes/No]","IA: Package-Level RAPL/PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","IA: Max Turbo Limit [Yes/No]","IA: Turbo Attenuation (MCT) [Yes/No]","GT: Thermal Event [Yes/No]","GT: DDR RAPL [Yes/No]","GT: Residency State Regulation [Yes/No]","GT: Running Average Thermal Limit [Yes/No]","GT: VR Thermal Alert [Yes/No]","GT: VR TDC [Yes/No]","GT: Max VR Voltage, ICCmax, PL4 [Yes/No]","GT: Domain-Level PBM PLGT [Yes/No]","GT: Package-Level RAPL/PBM PL1 [Yes/No]","GT: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","GT: Inefficient Operation [Yes/No]","GT: Fuses limit [Yes/No]","RING: Residency State Regulation [Yes/No]","RING: VR Thermal Alert [Yes/No]","RING: VR TDC [Yes/No]","RING: Max VR Voltage, ICCmax, PL4 [Yes/No]","RING: Package-Level RAPL/PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","T2 [°C]","Motherboard [°C]","Temp3 [°C]","Temp4 [°C]","Temp5 [°C]","Temp6 [°C]","CPU (PECI) [°C]","CPU [°C]","Vcore [V]","+5V [V]","AVCC [V]","3VCC [V]","+12V [V]","VCOREREFIN [V]","VIN4 [V]","3VSB [V]","VBAT [V]","VTT [V]","VIN5 [V]","VCCSA [V]","CPU VCCIO [V]","VIN3 [V]","VIN7 [V]","Chassis1 [RPM]","CPU [RPM]","Drive Temperature [°C]","Drive Airflow Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Drive Temperature [°C]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Drive Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Thermal Diode [°C]","GPU Core Voltage (VDDC) [V]","GPU Fan [RPM]","GPU Core Current [A]","GPU Core Power [W]","GPU Chip Power [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Utilization [%]","GPU D3D Usage [%]","GPU Memory Controller Utilization [%]","GPU Fan Speed [%]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","GPU Memory Errors []","GPU VRM Temperature1 [°C]","GPU VRM Temperature2 [°C]","GPU VRM Voltage Out (VOUT/VID) [V]","GPU VRM Voltage In (VIN/+12V) [V]","GPU VRM Current In (IIN) [A]","GPU VRM Current Out (IOUT) [A]","Total DL [MB]","Total UP [MB]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []","GPU VRM Power In (PIN) [W]",
20.2.2017,17:49:27.367,7715,11023,41.1,6074,10231,37.2,0.0,1.109,1.120,1.123,1.134,3291.9,3291.9,3291.9,3291.9,99.8,3291.9,997.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33,33,33,33,33,45,47,36,36,55,53,64,64,47,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,52,48,46,45.006,40.334,4.175,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.1,10.67,15,15,15,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,34,108,106,103,114,52,44,1.136,5.080,3.408,3.360,11.808,0.168,0.848,3.408,3.216,0.984,0.160,0.144,0.152,0.136,0.144,745,912,33,33,No,No,47,100.0,No,No,2599,5272,35,No,No,0.7,0.0,0.7,0.344,0.055,4105,465,0.0,0.1,0.1,0.000,0.009,846,6,0.0,0.0,0.0,0.000,0.000,0,0,76,1.038,2117,21.656,22.468,107.625,1077.0,2000.0,93.0,100.0,73.0,51.0,563,78,8.0,0,70.0,26.0,1.204,13.969,6.281,182.500,0,0,26,2,0.000,0.636,0,109.375,78.125,
20.2.2017,17:49:27.635,7710,11027,41.1,6080,10225,37.2,0.0,1.118,1.122,1.104,1.117,3291.1,3291.1,3291.1,3291.1,99.7,3291.1,997.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33,33,33,33,33,45,47,36,37,55,53,64,63,47,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,52,47,47,42.046,37.545,3.686,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.8,10.67,15,15,15,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,34,108,106,103,114,52,45,1.120,5.040,3.408,3.360,12.000,0.168,0.848,3.408,3.216,0.984,0.160,0.144,0.152,0.136,0.152,745,929,33,33,No,No,47,100.0,No,No,2599,5272,35,No,No,0.4,0.2,0.7,0.153,0.750,4106,466,0.0,0.2,0.2,0.000,0.102,846,6,0.0,0.0,0.0,0.000,0.000,0,0,75,1.050,2113,86.625,90.956,113.867,1160.0,2000.0,99.0,100.0,80.0,51.0,559,78,8.0,0,70.0,26.0,1.240,13.969,2.125,30.000,0,0,26,2,7.068,1.293,0,80.875,53.250,
20.2.2017,17:49:28.095,7722,11016,41.2,6085,10220,37.3,0.0,1.123,1.125,1.101,1.101,3291.9,3291.9,3291.9,3291.9,99.8,3291.9,997.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33,33,33,33,33,46,47,36,37,54,53,64,63,47,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,52,47,46,44.640,40.049,4.065,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.1,10.67,15,15,15,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,34,108,106,103,114,51,45,1.136,5.040,3.408,3.360,11.904,0.168,0.848,3.408,3.216,0.984,0.160,0.144,0.152,0.136,0.152,770,926,33,33,No,No,47,100.0,No,No,2599,5272,35,No,No,0.0,0.0,0.0,0.000,0.000,4106,466,0.0,0.0,0.0,0.000,0.000,846,6,0.0,0.0,0.0,0.000,0.000,0,0,75,1.050,2121,94.359,99.077,107.324,1160.0,2000.0,99.0,100.0,78.0,52.0,559,78,8.0,0,70.0,26.0,1.192,0.868,2.125,128.000,0,0,26,2,1.369,3.084,0,80.875,53.250,
20.2.2017,17:49:28.583,7721,11016,41.2,6093,10212,37.3,0.0,1.126,1.130,1.130,1.120,3294.4,3294.4,3294.4,3294.4,99.8,3294.4,998.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33,33,33,33,33,46,48,36,37,54,52,64,63,48,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,52,47,46,45.469,40.768,4.170,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.8,10.67,15,15,15,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,34,108,106,103,114,52,43,1.136,5.040,3.408,3.360,11.712,0.168,0.848,3.408,3.216,0.984,0.160,0.144,0.152,0.136,0.152,770,926,33,33,No,No,47,100.0,No,No,2599,5272,35,No,No,0.2,0.0,0.2,0.015,0.000,4106,466,0.0,0.0,0.0,0.000,0.000,846,6,0.0,0.0,0.0,0.000,0.000,0,0,75,1.050,2134,86.625,90.956,114.668,1160.0,2000.0,100.0,100.0,77.0,52.0,563,78,8.0,0,70.0,26.0,1.192,0.868,6.375,128.000,0,0,26,2,1.937,2.229,0,73.625,60.688,
20.2.2017,17:49:29.024,7727,11010,41.2,6092,10213,37.3,0.0,1.129,1.110,1.105,1.109,3288.7,3288.7,3288.7,3288.7,99.7,3288.7,996.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33,33,33,33,33,45,48,36,36,55,52,64,64,48,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,52,48,47,44.671,39.967,4.067,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.0,10.67,15,15,15,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,34,108,106,103,114,52,43,1.136,5.040,3.408,3.360,11.904,0.168,0.848,3.408,3.216,0.984,0.160,0.144,0.152,0.136,0.152,764,939,33,33,No,No,47,100.0,No,No,2599,5272,35,No,No,21.7,0.8,22.5,6.851,0.524,4108,466,0.0,0.0,0.0,0.000,0.000,846,6,0.0,0.0,0.0,0.000,0.000,0,0,75,1.050,2142,86.625,90.956,114.059,1160.0,2000.0,100.0,100.0,77.0,52.0,563,78,8.0,0,0.0,26.0,1.192,11.938,6.375,90.750,0,0,26,2,0.936,6.139,0,73.625,60.688,
20.2.2017,17:49:29.471,7728,11010,41.2,6092,10213,37.3,0.0,1.124,1.123,1.127,1.112,3290.3,3290.3,3290.3,3290.3,99.7,3290.3,997.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33,33,33,33,33,43,47,36,36,57,53,64,64,47,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,52,49,48,45.233,40.589,4.089,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.5,10.67,15,15,15,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,34,108,106,103,114,52,43,1.120,5.040,3.408,3.360,11.904,0.168,0.848,3.408,3.216,0.984,0.160,0.144,0.152,0.136,0.152,764,939,33,33,No,No,47,100.0,No,No,2599,5272,35,No,No,0.4,0.4,0.8,0.286,0.471,4109,466,0.0,0.2,0.2,0.000,0.138,846,6,0.0,0.0,0.0,0.000,0.000,0,0,75,1.119,2142,100.547,112.487,114.891,1225.0,2000.0,100.0,100.0,79.0,52.0,563,78,8.0,0,70.0,26.0,2.174,11.969,6.375,53.500,0,0,26,2,1.559,2.503,0,0.000,57.625,
20.2.2017,17:49:29.908,7727,11011,41.2,6092,10213,37.3,0.0,1.142,1.118,1.124,1.099,3290.3,3290.3,3290.3,3290.3,99.7,3290.3,997.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33,33,33,33,33,45,49,37,37,55,51,63,63,49,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,53,49,47,45.356,40.665,4.183,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.5,10.67,15,15,15,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,34,108,106,103,114,52,45,1.136,5.040,3.408,3.360,11.904,0.168,0.848,3.408,3.216,0.976,0.160,0.144,0.152,0.136,0.152,746,923,33,33,No,No,47,100.0,No,No,2599,5272,35,No,No,0.0,0.0,0.0,0.000,0.000,4109,466,0.0,0.0,0.0,0.000,0.000,846,6,0.0,0.0,0.0,0.000,0.000,0,0,75,1.050,2142,85.078,89.332,114.109,1160.0,2000.0,100.0,100.0,78.0,52.0,563,78,8.0,0,70.0,26.0,1.119,11.938,6.375,53.500,0,0,26,2,0.517,1.278,0,82.375,64.250,
20.2.2017,17:49:30.336,7730,11007,41.2,6096,10209,37.3,0.0,1.119,1.126,1.134,1.130,3292.7,3292.7,3292.7,3292.7,99.8,3292.7,997.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33,33,33,33,33,45,48,36,37,55,52,64,63,48,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,53,47,47,44.449,39.838,4.048,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.3,10.67,15,15,15,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,34,108,106,103,114,52,45,1.136,5.040,3.408,3.360,11.904,0.168,0.848,3.408,3.216,0.984,0.160,0.144,0.152,0.136,0.152,746,923,33,33,No,No,47,100.0,No,No,2599,5272,35,No,No,0.2,0.6,0.8,0.180,0.232,4109,466,0.0,22.2,22.2,0.000,0.028,846,6,0.0,0.0,0.0,0.000,0.000,0,0,75,1.119,2146,95.906,107.295,114.867,1225.0,2000.0,100.0,100.0,78.0,52.0,563,78,8.0,0,70.0,26.0,1.119,11.969,6.375,92.500,0,0,26,2,3.166,2.927,0,82.375,61.188,
20.2.2017,17:49:30.839,7732,11005,41.2,6096,10209,37.3,0.0,1.108,1.109,1.111,1.108,3291.9,3291.9,3291.9,3291.9,99.8,3291.9,997.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33,33,33,33,33,45,50,38,38,55,50,62,62,50,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,53,49,46,44.693,40.122,3.957,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.1,10.67,15,15,15,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,34,108,106,103,114,52,45,1.120,5.040,3.408,3.360,11.904,0.168,0.848,3.408,3.216,0.984,0.168,0.144,0.152,0.136,0.152,769,938,33,33,No,No,47,100.0,No,No,2599,5272,35,No,No,1.8,0.6,2.4,0.771,0.320,4109,467,0.0,0.0,0.0,0.000,0.000,846,6,0.0,0.0,0.0,0.000,0.000,0,0,75,1.050,2146,89.719,94.205,113.879,1160.0,2000.0,100.0,100.0,76.0,52.0,557,78,8.0,0,70.0,26.0,1.116,11.938,7.969,62.000,0,0,26,2,17.252,5.486,0,80.125,59.625,
Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core #0 VID [V]","Core #1 VID [V]","Core #2 VID [V]","Core #3 VID [V]","Core #0 Clock [MHz]","Core #1 Clock [MHz]","Core #2 Clock [MHz]","Core #3 Clock [MHz]","Bus Clock [MHz]","Ring Clock [MHz]","System Agent Clock [MHz]","Core #0 Usage [%]","Core #1 Usage [%]","Core #2 Usage [%]","Core #3 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","On-Demand Clock Modulation [%]","Core #0 Ratio [x]","Core #1 Ratio [x]","Core #2 Ratio [x]","Core #3 Ratio [x]","Uncore Ratio [x]","Core #0 [°C]","Core #1 [°C]","Core #2 [°C]","Core #3 [°C]","Core #0 Distance to TjMAX [°C]","Core #1 Distance to TjMAX [°C]","Core #2 Distance to TjMAX [°C]","Core #3 Distance to TjMAX [°C]","Core Max [°C]","Core #0 Thermal Throttling [Yes/No]","Core #1 Thermal Throttling [Yes/No]","Core #2 Thermal Throttling [Yes/No]","Core #3 Thermal Throttling [Yes/No]","Core #0 Critical Temperature [Yes/No]","Core #1 Critical Temperature [Yes/No]","Core #2 Critical Temperature [Yes/No]","Core #3 Critical Temperature [Yes/No]","Core #0 Power Limit Exceeded [Yes/No]","Core #1 Power Limit Exceeded [Yes/No]","Core #2 Power Limit Exceeded [Yes/No]","Core #3 Power Limit Exceeded [Yes/No]","Package/Ring Thermal Throttling [Yes/No]","Package/Ring Critical Temperature [Yes/No]","Package/Ring Power Limit Exceeded [Yes/No]","CPU Package [°C]","CPU IA Cores [°C]","CPU GT Cores (Graphics) [°C]","CPU Package Power [W]","IA Cores Power [W]","Total DRAM Power [W]","Core #0 Thread 0 C0 Residency [%]","Core #1 Thread 0 C0 Residency [%]","Core #2 Thread 0 C0 Residency [%]","Core #3 Thread 0 C0 Residency [%]","Core #0 C3 Residency [%]","Core #1 C3 Residency [%]","Core #2 C3 Residency [%]","Core #3 C3 Residency [%]","Core #0 C7 Residency [%]","Core #1 C7 Residency [%]","Core #2 C7 Residency [%]","Core #3 C7 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trfc [T]","Command Rate [T]","IA: PROCHOT [Yes/No]","IA: Thermal Event [Yes/No]","IA: DDR RAPL [Yes/No]","IA: PCS (PECI) [Yes/No]","IA: Residency State Regulation [Yes/No]","IA: Running Average Thermal Limit [Yes/No]","IA: VR Thermal Alert [Yes/No]","IA: VR TDC [Yes/No]","IA: Electrical Design Point/Other (ICCmax,PL4,SVID,DDR RAPL) [Yes/No]","IA: Package-Level RAPL/PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","IA: Max Turbo Limit [Yes/No]","IA: Turbo Attenuation (MCT) [Yes/No]","GT: Thermal Event [Yes/No]","GT: DDR RAPL [Yes/No]","GT: Residency State Regulation [Yes/No]","GT: Running Average Thermal Limit [Yes/No]","GT: VR Thermal Alert [Yes/No]","GT: VR TDC [Yes/No]","GT: Max VR Voltage, ICCmax, PL4 [Yes/No]","GT: Domain-Level PBM PLGT [Yes/No]","GT: Package-Level RAPL/PBM PL1 [Yes/No]","GT: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","GT: Inefficient Operation [Yes/No]","GT: Fuses limit [Yes/No]","RING: Residency State Regulation [Yes/No]","RING: VR Thermal Alert [Yes/No]","RING: VR TDC [Yes/No]","RING: Max VR Voltage, ICCmax, PL4 [Yes/No]","RING: Package-Level RAPL/PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","T2 [°C]","Motherboard [°C]","Temp3 [°C]","Temp4 [°C]","Temp5 [°C]","Temp6 [°C]","CPU (PECI) [°C]","CPU [°C]","Vcore [V]","+5V [V]","AVCC [V]","3VCC [V]","+12V [V]","VCOREREFIN [V]","VIN4 [V]","3VSB [V]","VBAT [V]","VTT [V]","VIN5 [V]","VCCSA [V]","CPU VCCIO [V]","VIN3 [V]","VIN7 [V]","Chassis1 [RPM]","CPU [RPM]","Drive Temperature [°C]","Drive Airflow Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Drive Temperature [°C]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Drive Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Thermal Diode [°C]","GPU Core Voltage (VDDC) [V]","GPU Fan [RPM]","GPU Core Current [A]","GPU Core Power [W]","GPU Chip Power [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Utilization [%]","GPU D3D Usage [%]","GPU Memory Controller Utilization [%]","GPU Fan Speed [%]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","GPU Memory Errors []","GPU VRM Temperature1 [°C]","GPU VRM Temperature2 [°C]","GPU VRM Voltage Out (VOUT/VID) [V]","GPU VRM Voltage In (VIN/+12V) [V]","GPU VRM Current In (IIN) [A]","GPU VRM Current Out (IOUT) [A]","Total DL [MB]","Total UP [MB]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []","GPU VRM Power In (PIN) [W]","GPU VRM Power Out (POUT) [W]",
